run_id,algorithm,operation,timing_iterations,mean_seconds,median_seconds,minimum_seconds,maximum_seconds,standard_deviation_seconds,cpu_iterations,cpu_wall_time_seconds,total_cpu_time_seconds,cpu_time_per_operation,cpu_utilisation_percent,memory_iterations,memory_before_mb,memory_after_mb,peak_memory_mb,peak_memory_increase_kb
1,ML-DSA-65,Signing,1000,0.0017412773,0.001373,0.0006763,0.0101464,0.0011843485184217515,1693,3.007707999997365,2.953125,0.001744314825753101,98.18522941730339,569,40.8984375,40.9140625,40.91796875,20.0
1,ML-DSA-65,Verification,1000,0.0004678869,0.0004638,0.0004447,0.000821,2.3217090508538782e-05,6323,3.0002848000003723,2.984375,0.0004719871896251779,99.46972367422018,2128,40.93359375,40.953125,40.95703125,24.0
1,ML-DSA-87,Key Generation,1000,0.0006699924,0.0006634,0.0006365,0.0009456,2.882692827954505e-05,4260,3.0000795000014477,2.9375,0.0006895539906103287,97.91407194371291,1187,41.14453125,41.15234375,41.1640625,20.0
1,ML-DSA-87,Signing,1000,0.0025245075,0.00204715,0.0010555,0.01281,0.0014684559642538493,1311,3.00023539999529,2.96875,0.0022644927536231885,98.95056901217353,431,41.18359375,41.19921875,41.203125,20.0
1,ML-DSA-87,Verification,1000,0.0007601413,0.0007481,0.0007192,0.0011429,4.2428617841286346e-05,3813,3.000645899999654,2.984375,0.000782684238132704,99.45775341236846,1270,41.27734375,41.29296875,41.296875,20.0
2,RSA-2048,Key Generation,1000,0.0346144764,0.029394299999999998,0.0061873,0.1487579,0.02101592127504721,100,3.241220500000054,3.21875,0.0321875,99.30672720353171,100,38.0234375,38.046875,38.0703125,48.0
2,RSA-2048,Encryption,1000,2.09461e-05,2.06e-05,1.95e-05,9.92e-05,3.225223535951711e-06,146196,3.0000135000009323,2.953125,2.0199766067471066e-05,98.43705703321277,48227,38.046875,38.0625,38.06640625,20.0
2,RSA-2048,Decryption,1000,0.0004521828,0.00043844999999999995,0.0004279,0.0007855,5.1341478080899964e-05,6625,3.0000510000027134,2.984375,0.0004504716981132076,99.47747554949235,2215,38.046875,38.046875,38.06640625,20.0
2,RSA-2048,Signing,1000,0.0004508538,0.0004384,0.0004276,0.0008049,5.1058272324205535e-05,6635,3.000114099995699,3.0,0.000452147701582517,99.99619681145798,2204,38.046875,38.046875,38.06640625,20.0
2,RSA-2048,Verification,1000,2.14653e-05,2.11e-05,2.04e-05,4.92e-05,1.595233738572715e-06,139241,3.0000018999999156,3.0,2.1545378157295623e-05,99.99993666670959,45520,38.046875,38.046875,38.06640625,20.0
2,ECC P-256,ECC Key Generation,1000,1.51088e-05,1.49e-05,1.45e-05,7.75e-05,2.3292891937559294e-06,196950,3.000005100002454,2.984375,1.5152957603452653e-05,99.47899755228946,64914,39.22265625,39.23828125,39.2421875,20.0
2,ECC P-256,ECDH Shared Secret,1000,4.0287e-05,3.97e-05,3.83e-05,7.02e-05,2.2675786453644584e-06,73139,3.00003149999975,2.984375,4.0804153734669605e-05,99.47812214639242,24592,39.22265625,39.23828125,39.2421875,20.0
2,ECC P-256,ECDSA Signing,1000,2.06256e-05,2.02e-05,1.96e-05,7.69e-05,2.6903275827494507e-06,146028,3.0000127000021166,2.984375,2.043700523187334e-05,99.47874553990704,47556,39.22265625,39.23828125,39.2421875,20.0
2,ECC P-256,ECDSA Verification,1000,5.41558e-05,5.32e-05,5.16e-05,0.0001342,4.232554888112011e-06,56241,3.000021400002879,2.96875,5.2786223573549545e-05,98.957627435496,18419,39.22265625,39.23828125,39.2421875,20.0
2,ML-KEM-512,Key Generation,1000,9.42997e-05,9.35e-05,8.88e-05,0.0001993,5.073994021017893e-06,30472,3.0000720000025467,3.0,9.845103701758992e-05,99.99760005751374,10106,39.0,39.015625,39.01953125,20.0
2,ML-KEM-512,Encapsulation,1000,0.0001291984,0.0001308,0.0001143,0.0002413,1.0588287362424071e-05,23815,3.0000270000018645,2.96875,0.00012465882846945202,98.95744271628737,8040,39.37890625,39.39453125,39.3984375,20.0
2,ML-KEM-512,Decapsulation,1000,0.000161006,0.00016025,0.0001414,0.0003271,1.4082683905633399e-05,19118,3.000131799999508,3.0,0.00015692017993513966,99.99560685968835,6500,39.38671875,39.40234375,39.40625,20.0
2,ML-KEM-768,Key Generation,1000,0.000154148,0.0001515,0.0001441,0.0002079,7.972870415519286e-06,18607,3.00002780000068,3.0,0.00016122964475734938,99.9990733418977,5954,39.46484375,39.48046875,39.484375,20.0
2,ML-KEM-768,Encapsulation,1000,0.0001879976,0.0001845,0.0001687,0.0002919,1.3713669055324288e-05,14566,3.0001530999943498,2.984375,0.00020488637923932445,99.47409017245221,4571,39.5,39.515625,39.51953125,20.0
2,ML-KEM-768,Decapsulation,1000,0.0003961744,0.0003174,0.0002324,0.001219,0.00014457742221956946,9617,3.0002770999999484,2.90625,0.0003021992305292711,96.86605280559085,2918,39.6953125,39.6953125,39.71484375,20.0
2,ML-KEM-1024,Key Generation,1000,0.0002307305,0.0002197,0.0002075,0.0004754,2.3858168243642302e-05,11548,3.00002890000178,2.8125,0.00024354866643574644,93.74909688364438,3036,39.74609375,39.765625,39.76953125,24.0
2,ML-KEM-1024,Encapsulation,1000,0.0002905824,0.00028879999999999997,0.000239,0.0009258,4.5126240790119534e-05,10839,3.000212400002056,2.9375,0.00027101208598579205,97.90973465738583,3814,39.8125,39.8125,39.83203125,20.0
2,ML-KEM-1024,Decapsulation,1000,0.000321838,0.0003303,0.0002783,0.0005608,2.9094224339031448e-05,9510,3.0001579000017955,2.953125,0.0003105283911671924,98.43231917887498,3332,39.9140625,39.9296875,39.93359375,20.0
2,ML-DSA-44,Key Generation,1000,0.0002710614,0.00026904999999999995,0.0002302,0.0007618,4.2906303743633536e-05,12011,3.0003713999976753,2.96875,0.0002471692615102822,98.94608380823455,4011,39.99609375,40.015625,40.01953125,24.0
2,ML-DSA-44,Signing,1000,0.0012365854,0.0009777,0.000472,0.0103227,0.0008581023782733844,2487,3.0014157999976305,2.90625,0.0011685765983112184,96.82930302433586,810,40.06640625,40.07421875,40.0859375,20.0
2,ML-DSA-44,Verification,1000,0.0003210084,0.00030915,0.0002936,0.0005382,2.7822649573131407e-05,9145,3.0001130000018748,3.0,0.0003280481137233461,99.99623347514328,3162,40.06640625,40.08203125,40.0859375,20.0
2,ML-DSA-65,Key Generation,1000,0.0004431694,0.00042544999999999996,0.0004046,0.0008674,4.21185243537061e-05,6891,3.000269500000286,2.96875,0.000430815556523001,98.94944437490423,2289,40.2265625,40.2421875,40.24609375,20.0
2,ML-DSA-65,Signing,1000,0.0018066612,0.0014272500000000001,0.0006759,0.0095618,0.0012318839981505804,1666,3.000320400002238,2.984375,0.0017913415366146458,99.46854342615455,566,40.2578125,40.2578125,40.27734375,20.0
2,ML-DSA-65,Verification,1000,0.0005005104,0.00050645,0.0004435,0.0009892,4.514084256532556e-05,6282,3.0000485999989905,2.96875,0.00047258038841133397,98.95673023433683,2091,40.29296875,40.30859375,40.3125,20.0
2,ML-DSA-87,Key Generation,1000,0.0007201361,0.0006918,0.0006362,0.0016453,9.115549446391567e-05,4380,3.0005755000020145,3.0,0.0006849315068493151,99.98082034589652,1471,40.515625,40.53125,40.53515625,20.0
2,ML-DSA-87,Signing,1000,0.0021885304,0.0018449999999999999,0.0010521,0.0105841,0.001258815235844337,1355,3.001093699997,2.984375,0.002202490774907749,99.44291309541529,454,40.55078125,40.56640625,40.5703125,20.0
2,ML-DSA-87,Verification,1000,0.0007916012,0.0007788999999999999,0.0007224,0.001131,5.691683146718784e-05,3856,3.000814499995613,2.953125,0.0007658519190871369,98.410781472974,1240,40.64453125,40.66015625,40.6640625,20.0
3,RSA-2048,Key Generation,1000,0.034244347,0.02907705,0.0061721,0.1320797,0.02054627515895225,100,3.6499469999980647,3.625,0.03625,99.3165106233576,100,38.66796875,38.7109375,38.71484375,48.0
3,RSA-2048,Encryption,1000,2.06052e-05,2.04e-05,1.92e-05,6.29e-05,2.393847000846851e-06,150407,3.0000075999996625,2.984375,1.9841995385853052e-05,99.47891465342741,49160,38.69140625,38.69140625,38.7109375,20.0
3,RSA-2048,Decryption,1000,0.0004488974,0.00043214999999999996,0.0004277,0.0007658,5.192338481966609e-05,6746,3.0000889000002644,3.0,0.0004447079750963534,99.9970367544687,2244,38.69140625,38.70703125,38.7109375,20.0
3,RSA-2048,Signing,1000,0.0004506301,0.0004407,0.0004277,0.0008316,5.087108974419323e-05,6749,3.000129400003061,2.953125,0.0004375648244184324,98.43325424553309,2244,38.69140625,38.70703125,38.7109375,20.0
3,RSA-2048,Verification,1000,2.13944e-05,2.11e-05,2.02e-05,6.18e-05,1.8825548206234666e-06,143059,3.000010999996448,2.984375,2.0861148197596795e-05,99.47880191117744,47003,38.69140625,38.70703125,38.7109375,20.0
3,ECC P-256,ECC Key Generation,1000,1.51843e-05,1.47e-05,1.43e-05,7.36e-05,3.27951806653794e-06,202349,3.0000004999965313,2.9375,1.451699786013274e-05,97.91665034733815,65923,39.80078125,39.80078125,39.8203125,20.0
3,ECC P-256,ECDH Shared Secret,1000,3.99822e-05,3.89e-05,3.83e-05,0.0002137,6.293740885541311e-06,76318,3.0000198999987333,3.0,3.930920621609581e-05,99.99933667110898,25098,39.80078125,39.81640625,39.8203125,20.0
3,ECC P-256,ECDSA Signing,1000,2.00183e-05,1.98e-05,1.94e-05,5.15e-05,2.046143155258647e-06,145711,3.000009900002624,2.984375,2.0481466738955877e-05,99.47883838641299,48861,39.80078125,39.81640625,39.8203125,20.0
3,ECC P-256,ECDSA Verification,1000,5.37182e-05,5.36e-05,5.16e-05,8.81e-05,2.647523019378328e-06,56729,3.000014799996279,2.984375,5.260757284633962e-05,99.47867590532225,18884,39.80078125,39.81640625,39.8203125,20.0
