algorithm,operation,average_mean_seconds,between_run_std_seconds,average_median_seconds,minimum_seconds,maximum_seconds,average_cpu_time_per_operation,average_cpu_utilisation_percent,average_mean_ms,between_run_std_ms,average_median_ms,minimum_ms,maximum_ms,average_cpu_time_per_operation_ms
ECC P-256,ECC Key Generation,1.500422e-05,2.1074292870699116e-07,1.47e-05,1.41e-05,0.0001051,1.4934747663095782e-05,99.2705657822331,0.01500422,0.00021074292870699118,0.0147,0.0141,0.1051,0.014934747663095781
ECC P-256,ECDH Shared Secret,3.9861600000000005e-05,5.098048499180853e-07,3.93e-05,3.82e-05,0.0002137,3.9939823972749363e-05,99.68686161588144,0.039861600000000004,0.0005098048499180853,0.0393,0.0382,0.2137,0.039939823972749366
ECC P-256,ECDSA Signing,2.072406e-05,4.672161416304012e-07,2.03e-05,1.94e-05,9.54e-05,2.021367412599384e-05,99.37458953315013,0.020724060000000002,0.0004672161416304012,0.0203,0.0194,0.0954,0.020213674125993838
ECC P-256,ECDSA Verification,5.432166e-05,4.635636180719951e-07,5.36e-05,5.16e-05,0.0002287,5.2738210901121005e-05,98.95770209148196,0.05432166,0.0004635636180719951,0.0536,0.0516,0.22870000000000001,0.052738210901121005
ML-DSA-44,Key Generation,0.00025504225999999997,9.345738189035683e-06,0.00024823999999998,0.000227,0.0023898,0.00024793759585014,99.57600159639533,0.25504225999999997,0.009345738189035684,0.24823999999998,0.22699999999999998,2.3898,0.24793759585014
ML-DSA-44,Signing,0.0011897487200000002,3.06004484718281e-05,0.00093216999999996,0.0004688,0.0103227,0.0011732072951426,98.18232414294434,1.18974872,0.0306004484718281,0.93216999999996,0.4688,10.322700000000001,1.1732072951426
ML-DSA-44,Verification,0.0003140453,5.486590949761061e-06,0.00030787999999998,0.0002934,0.0005606,0.00031669737194892,99.05811143534736,0.31404529999999997,0.005486590949761061,0.30787999999998,0.2934,0.5606,0.31669737194892
ML-DSA-65,Key Generation,0.0004525871,1.9086044862673865e-05,0.00044054999999998,0.0004046,0.0060312,0.00042969170473112,99.05631350947576,0.45258709999999996,0.019086044862673866,0.44054999999998,0.4046,6.031199999999999,0.42969170473112
ML-DSA-65,Signing,0.0018062874199999998,4.146702010486153e-05,0.00141533,0.0006759,0.0101464,0.0017839188905491802,99.07737883298067,1.8062874199999999,0.04146702010486153,1.41533,0.6759000000000001,10.1464,1.7839188905491803
ML-DSA-65,Verification,0.00047717344,1.3355156156443855e-05,0.00047174,0.0004408,0.0009892,0.00046986168054737997,99.15881658557508,0.47717344,0.013355156156443854,0.47174,0.44079999999999997,0.9892,0.46986168054738
ML-DSA-87,Key Generation,0.0006886447,2.3111073675513233e-05,0.0006693000000000001,0.0006294,0.0155209,0.00068196072788268,99.47320229389325,0.6886447,0.023111073675513235,0.6693,0.6294,15.520900000000001,0.68196072788268
ML-DSA-87,Signing,0.0022857974,0.00015893399228520929,0.0018894899999999802,0.0010481,0.0139551,0.0022103619021808,99.3466261602535,2.2857974000000003,0.1589339922852093,1.8894899999999801,1.0481,13.9551,2.2103619021808
ML-DSA-87,Verification,0.00076074348,2.0206070045706573e-05,0.00075228999999998,0.0007192,0.0011429,0.00076711922532654,99.25477973424795,0.7607434799999999,0.020206070045706574,0.75228999999998,0.7192000000000001,1.1429,0.76711922532654
ML-KEM-1024,Decapsulation,0.00030506254,1.6423427860315877e-05,0.00030502,0.0002762,0.0005608,0.0002972201446858,98.5373216095233,0.30506254,0.01642342786031588,0.30501999999999996,0.2762,0.5608,0.29722014468580005
ML-KEM-1024,Encapsulation,0.0002646131,1.8984375003144033e-05,0.00025972999999998,0.0002365,0.0010287,0.00025624708457062,99.16220741541278,0.2646131,0.01898437500314403,0.25972999999998003,0.23650000000000002,1.0287,0.25624708457062
ML-KEM-1024,Key Generation,0.00022726426,3.4488130266803364e-06,0.00021968,0.0002075,0.0007558,0.00022671509410412,98.01759215196518,0.22726426,0.0034488130266803366,0.21968000000000001,0.2075,0.7558,0.22671509410412
ML-KEM-512,Decapsulation,0.00015774552,1.1820022789614244e-05,0.00015353,0.0001408,0.0007637,0.00015180408120499998,98.53967593185526,0.15774552,0.011820022789614245,0.15353,0.1408,0.7636999999999999,0.151804081205
ML-KEM-512,Encapsulation,0.00012664512,4.475417948862442e-06,0.00012325000000000001,0.0001143,0.000395,0.00012353342319129998,97.91536190379216,0.12664512,0.004475417948862442,0.12325000000000001,0.1143,0.395,0.12353342319129998
