algorithm,operation_type,average_mean_ms,between_run_std_ms,average_median_ms,average_cpu_time_per_operation_ms
ECC P-256,Signing,0.020724060000000002,0.0004672161416304012,0.0203,0.020213674125993838
ECC P-256,Verification,0.05432166,0.0004635636180719951,0.0536,0.052738210901121005
ML-DSA-44,Signing,1.18974872,0.0306004484718281,0.93216999999996,1.1732072951426
ML-DSA-44,Verification,0.31404529999999997,0.005486590949761061,0.30787999999998,0.31669737194892
ML-DSA-65,Signing,1.8062874199999999,0.04146702010486153,1.41533,1.7839188905491803
ML-DSA-65,Verification,0.47717344,0.013355156156443854,0.47174,0.46986168054738
ML-DSA-87,Signing,2.2857974000000003,0.1589339922852093,1.8894899999999801,2.2103619021808
ML-DSA-87,Verification,0.7607434799999999,0.020206070045706574,0.75228999999998,0.76711922532654
RSA-2048,Signing,0.45122091999999997,0.009139760782263423,0.4391,0.44202532880576006
RSA-2048,Verification,0.0213985,0.0006582376280645148,0.02114,0.021054725636086236
